country,co2,population,sumco2
India,2441.792,1380004385,3369683667257.92
United States,4712.771,331002651,1559939694555.921
Brazil,467.384,212559417,99346870555.128
Japan,1030.775,126476461,130368774087.27501
Germany,644.31,83783942,53982831670.02
United Kingdom,329.579,67886011,22373803619.369
France,276.634,65273511,18056872441.974003
South Korea,597.605,51269185,30638721301.925
Canada,535.823,37742154,20223114182.742
Australia,391.892,25499884,9993200540.528
Taiwan,273.175,23816775,6506147510.625
Sweden,38.635,10099265,390185103.275
Israel,56.351,8655535,487748052.78499997
New Zealand,33.475,4822233,161424249.675
Iceland,2.936,341243,1001889.448
